Row Type,Model/Name,Part Number,Description,Specs,Application,Price,Product Family,Separation Mode,Particle Size,Inner Diameter (ID),Length,Pore Size,Hardware,Guard Column,Unit,Agilent Page SKU Count,Source URL,Completeness Note,Matching Guard Column Part Number,Matching Guard Column Name,Matching Guard Column Agilent Link,Guard Holder / Hardware Link,Guard Match Status,Guard Matching Notes
SKU,Agilent PL-SAX,PL1551-1502,Strong anion exchange HPLC column with fully porous PS/DVB particles.,4.6 mm x 50 mm; 5 um; 1000 A,Oligonucleotide and protein/peptide purification; anion exchange.,"1,019.00 USD",PL-SAX,Anion Exchange (SAX),5 um,4.6 mm,50 mm,1000 A,SS,No,1 Each,51,https://www.agilent.com/en/product/biopharma-hplc-analysis/charge-variant-analysis/pl-sax-for-biomolecules,First-page row from public Agilent product list; bulk media rows are not prepacked columns.,PL1651-0102,"PL-SAX 1000 A guard cartridge, 3.0 x 5 mm, 10 um, 2/pk",https://www.agilent.com/en/product/biopharma-hplc-analysis/charge-variant-analysis/pl-sax-for-biomolecules,https://www.agilent.com/store/en_US/Prod-PL1310-0016/PL1310-0016,Matched by family; product page not directly indexed,Agilent PL-SAX family pages and ordering guides list/describe PL-SAX columns; reseller and ordering-guide snippets identify PL1651-0102 guard cartridges. Verify in Agilent order center before purchase. Use with PL 3.0 x 5 mm guard cartridge holder/hardware where required.
SKU,Agilent PL-SAX,PL1951-1502,Strong anion exchange HPLC column with fully porous PS/DVB particles.,2.1 mm x 50 mm; 5 um; 1000 A,Oligonucleotide and protein/peptide purification; anion exchange.,"1,019.00 USD",PL-SAX,Anion Exchange (SAX),5 um,2.1 mm,50 mm,1000 A,SS,No,1 Each,51,https://www.agilent.com/en/product/biopharma-hplc-analysis/charge-variant-analysis/pl-sax-for-biomolecules,First-page row from public Agilent product list; bulk media rows are not prepacked columns.,PL1651-0102,"PL-SAX 1000 A guard cartridge, 3.0 x 5 mm, 10 um, 2/pk",https://www.agilent.com/en/product/biopharma-hplc-analysis/charge-variant-analysis/pl-sax-for-biomolecules,https://www.agilent.com/store/en_US/Prod-PL1310-0016/PL1310-0016,Matched by family; product page not directly indexed,Agilent PL-SAX family pages and ordering guides list/describe PL-SAX columns; reseller and ordering-guide snippets identify PL1651-0102 guard cartridges. Verify in Agilent order center before purchase. Use with PL 3.0 x 5 mm guard cartridge holder/hardware where required.
SKU,Agilent PL-SAX,PL1551-3802,Strong anion exchange HPLC column with fully porous PS/DVB particles.,4.6 mm x 150 mm; 8 um; 1000 A,Oligonucleotide and protein/peptide purification; anion exchange.,"1,221.00 USD",PL-SAX,Anion Exchange (SAX),8 um,4.6 mm,150 mm,1000 A,SS,No,1 Each,51,https://www.agilent.com/en/product/biopharma-hplc-analysis/charge-variant-analysis/pl-sax-for-biomolecules,First-page row from public Agilent product list; bulk media rows are not prepacked columns.,PL1651-0102,"PL-SAX 1000 A guard cartridge, 3.0 x 5 mm, 10 um, 2/pk",https://www.agilent.com/en/product/biopharma-hplc-analysis/charge-variant-analysis/pl-sax-for-biomolecules,https://www.agilent.com/store/en_US/Prod-PL1310-0016/PL1310-0016,Matched by family; product page not directly indexed,Agilent PL-SAX family pages and ordering guides list/describe PL-SAX columns; reseller and ordering-guide snippets identify PL1651-0102 guard cartridges. Verify in Agilent order center before purchase. Use with PL 3.0 x 5 mm guard cartridge holder/hardware where required.
SKU,Agilent PL-SAX,PL1951-1503,Strong anion exchange HPLC column with fully porous PS/DVB particles.,2.1 mm x 50 mm; 5 um; 4000 A,Oligonucleotide and protein/peptide purification; anion exchange.,"1,019.00 USD",PL-SAX,Anion Exchange (SAX),5 um,2.1 mm,50 mm,4000 A,SS,No,1 Each,51,https://www.agilent.com/en/product/biopharma-hplc-analysis/charge-variant-analysis/pl-sax-for-biomolecules,First-page row from public Agilent product list; bulk media rows are not prepacked columns.,PL1651-0103,"PL-SAX 4000 A guard cartridge, 3.0 x 5 mm, 10 um, 2/pk (verify)",https://www.agilent.com/en/product/biopharma-hplc-analysis/charge-variant-analysis/pl-sax-for-biomolecules,https://www.agilent.com/store/en_US/Prod-PL1310-0016/PL1310-0016,Needs verification - public product page not confirmed,Expected PL-SAX guard cartridge family; exact 4000 A Agilent store page was not publicly confirmed in search results. Use with PL 3.0 x 5 mm guard cartridge holder/hardware where required.
SKU,Agilent PL-SAX,PL1551-3803,Strong anion exchange HPLC column with fully porous PS/DVB particles.,4.6 mm x 150 mm; 8 um; 4000 A,Oligonucleotide and protein/peptide purification; anion exchange.,"1,221.00 USD",PL-SAX,Anion Exchange (SAX),8 um,4.6 mm,150 mm,4000 A,SS,No,1 Each,51,https://www.agilent.com/en/product/biopharma-hplc-analysis/charge-variant-analysis/pl-sax-for-biomolecules,First-page row from public Agilent product list; bulk media rows are not prepacked columns.,PL1651-0103,"PL-SAX 4000 A guard cartridge, 3.0 x 5 mm, 10 um, 2/pk (verify)",https://www.agilent.com/en/product/biopharma-hplc-analysis/charge-variant-analysis/pl-sax-for-biomolecules,https://www.agilent.com/store/en_US/Prod-PL1310-0016/PL1310-0016,Needs verification - public product page not confirmed,Expected PL-SAX guard cartridge family; exact 4000 A Agilent store page was not publicly confirmed in search results. Use with PL 3.0 x 5 mm guard cartridge holder/hardware where required.
SKU,PL-SAX Bulk Media,PL1451-6102,Bulk strong anion exchange stationary phase; column hardware not included.,10 um; 1000 A; bulk media,Oligonucleotide and protein/peptide purification; anion exchange.,"28,830.00 USD",PL-SAX,Anion Exchange (SAX),10 um,,,1000 A,Bulk Media,No,1 Each,51,https://www.agilent.com/en/product/biopharma-hplc-analysis/charge-variant-analysis/pl-sax-for-biomolecules,First-page row from public Agilent product list; bulk media rows are not prepacked columns.,,,,,Not applicable - bulk media,Bulk media is not a prepacked analytical column; guard selection depends on the packed column hardware.
SKU,PL-SAX Bulk Media,PL1451-2102,Bulk strong anion exchange stationary phase; column hardware not included.,10 um; 1000 A; bulk media,Oligonucleotide and protein/peptide purification; anion exchange.,584.00 USD,PL-SAX,Anion Exchange (SAX),10 um,,,1000 A,Bulk Media,No,1 Each,51,https://www.agilent.com/en/product/biopharma-hplc-analysis/charge-variant-analysis/pl-sax-for-biomolecules,First-page row from public Agilent product list; bulk media rows are not prepacked columns.,,,,,Not applicable - bulk media,Bulk media is not a prepacked analytical column; guard selection depends on the packed column hardware.
SKU,PL-SAX Bulk Media,PL1451-4102,Bulk strong anion exchange stationary phase; column hardware not included.,10 um; 1000 A; bulk media,Oligonucleotide and protein/peptide purification; anion exchange.,"4,403.00 USD",PL-SAX,Anion Exchange (SAX),10 um,,,1000 A,Bulk Media,No,1 Each,51,https://www.agilent.com/en/product/biopharma-hplc-analysis/charge-variant-analysis/pl-sax-for-biomolecules,First-page row from public Agilent product list; bulk media rows are not prepacked columns.,,,,,Not applicable - bulk media,Bulk media is not a prepacked analytical column; guard selection depends on the packed column hardware.
SKU,PL-SAX Prep Column,PL1851-2102,Prep-scale strong anion exchange HPLC column.,100 mm x 300 mm; 10 um; 1000 A,Oligonucleotide and protein/peptide purification; anion exchange.,"51,529.00 USD",PL-SAX,Anion Exchange (SAX),10 um,100 mm,300 mm,1000 A,SS,No,1 Each,51,https://www.agilent.com/en/product/biopharma-hplc-analysis/charge-variant-analysis/pl-sax-for-biomolecules,First-page row from public Agilent product list; bulk media rows are not prepacked columns.,,,https://www.agilent.com/en/product/biopharma-hplc-analysis/charge-variant-analysis/pl-sax-for-biomolecules,,Needs verification - large prep scale,Large preparative PL-SAX guard/protection depends on scale and hardware; no exact public guard link was confirmed.
SKU,PL-SAX Prep Column,PL1851-3102,Prep-scale strong anion exchange HPLC column.,100 mm x 300 mm; 30 um; 1000 A,Oligonucleotide and protein/peptide purification; anion exchange.,"46,243.00 USD",PL-SAX,Anion Exchange (SAX),30 um,100 mm,300 mm,1000 A,SS,No,1 Each,51,https://www.agilent.com/en/product/biopharma-hplc-analysis/charge-variant-analysis/pl-sax-for-biomolecules,First-page row from public Agilent product list; bulk media rows are not prepacked columns.,,,https://www.agilent.com/en/product/biopharma-hplc-analysis/charge-variant-analysis/pl-sax-for-biomolecules,,Needs verification - large prep scale,Large preparative PL-SAX guard/protection depends on scale and hardware; no exact public guard link was confirmed.
SKU,PL-SAX,PL1951-3802,Strong anion exchange HPLC column with fully porous PS/DVB particles.,2.1 mm x 150 mm; 8 um; 1000 A,Oligonucleotide and protein/peptide purification; anion exchange.,"1,221.00 USD",PL-SAX,Anion Exchange (SAX),8 um,2.1 mm,150 mm,1000 A,SS,No,1 Each,51,https://www.agilent.com/en/product/biopharma-hplc-analysis/charge-variant-analysis/pl-sax-for-biomolecules,First-page row from public Agilent product list; bulk media rows are not prepacked columns.,PL1651-0102,"PL-SAX 1000 A guard cartridge, 3.0 x 5 mm, 10 um, 2/pk",https://www.agilent.com/en/product/biopharma-hplc-analysis/charge-variant-analysis/pl-sax-for-biomolecules,https://www.agilent.com/store/en_US/Prod-PL1310-0016/PL1310-0016,Matched by family; product page not directly indexed,Agilent PL-SAX family pages and ordering guides list/describe PL-SAX columns; reseller and ordering-guide snippets identify PL1651-0102 guard cartridges. Verify in Agilent order center before purchase. Use with PL 3.0 x 5 mm guard cartridge holder/hardware where required.
SKU,PL-SAX,PL1951-1802,Strong anion exchange HPLC column with fully porous PS/DVB particles.,2.1 mm x 50 mm; 8 um; 1000 A,Oligonucleotide and protein/peptide purification; anion exchange.,943.00 USD,PL-SAX,Anion Exchange (SAX),8 um,2.1 mm,50 mm,1000 A,SS,No,1 Each,51,https://www.agilent.com/en/product/biopharma-hplc-analysis/charge-variant-analysis/pl-sax-for-biomolecules,First-page row from public Agilent product list; bulk media rows are not prepacked columns.,PL1651-0102,"PL-SAX 1000 A guard cartridge, 3.0 x 5 mm, 10 um, 2/pk",https://www.agilent.com/en/product/biopharma-hplc-analysis/charge-variant-analysis/pl-sax-for-biomolecules,https://www.agilent.com/store/en_US/Prod-PL1310-0016/PL1310-0016,Matched by family; product page not directly indexed,Agilent PL-SAX family pages and ordering guides list/describe PL-SAX columns; reseller and ordering-guide snippets identify PL1651-0102 guard cartridges. Verify in Agilent order center before purchase. Use with PL 3.0 x 5 mm guard cartridge holder/hardware where required.
SKU,PLRP-S,PL1312-3300,PLRP-S reversed-phase column with fully porous PS/DVB support.,1.0 mm x 150 mm; 3 um; 100 A,"Small molecule, synthetic biomolecule, peptide, protein, and oligonucleotide separations/purification.",893.00 USD,PLRP-S,Reversed Phase,3 um,1.0 mm,150 mm,100 A,SS or bulk media,No,1 Each,142,https://www.agilent.com/en/product/biopharma-hplc-analysis/intact-subunit-analysis/plrp-s-for-biomolecules,First-page row from public Agilent product list; bulk media rows are not prepacked columns.,PL1612-1801,"PLRP-S 300 A, 3 x 5 mm, 5 um guard cartridge (PL), 2/pk",https://www.agilent.com/store/en_US/Prod-PL1612-1801/PL1612-1801,https://www.agilent.com/store/en_US/Prod-PL1310-0016/PL1310-0016,Matched by PL guard cartridge family; verify pore match,Official Agilent page found for PL1612-1801 PLRP-S 300 A guard cartridge; verify pore-size compatibility if using non-300 A PLRP-S columns.
SKU,PLRP-S,PL1312-1300,PLRP-S reversed-phase column with fully porous PS/DVB support.,1.0 mm x 50 mm; 3 um; 100 A,"Small molecule, synthetic biomolecule, peptide, protein, and oligonucleotide separations/purification.",702.00 USD,PLRP-S,Reversed Phase,3 um,1.0 mm,50 mm,100 A,SS or bulk media,No,1 Each,142,https://www.agilent.com/en/product/biopharma-hplc-analysis/intact-subunit-analysis/plrp-s-for-biomolecules,First-page row from public Agilent product list; bulk media rows are not prepacked columns.,PL1612-1801,"PLRP-S 300 A, 3 x 5 mm, 5 um guard cartridge (PL), 2/pk",https://www.agilent.com/store/en_US/Prod-PL1612-1801/PL1612-1801,https://www.agilent.com/store/en_US/Prod-PL1310-0016/PL1310-0016,Matched by PL guard cartridge family; verify pore match,Official Agilent page found for PL1612-1801 PLRP-S 300 A guard cartridge; verify pore-size compatibility if using non-300 A PLRP-S columns.
SKU,PLRP-S,PL1312-1500,PLRP-S reversed-phase column with fully porous PS/DVB support.,1.0 mm x 50 mm; 5 um; 100 A,"Small molecule, synthetic biomolecule, peptide, protein, and oligonucleotide separations/purification.",787.00 USD,PLRP-S,Reversed Phase,5 um,1.0 mm,50 mm,100 A,SS or bulk media,No,1 Each,142,https://www.agilent.com/en/product/biopharma-hplc-analysis/intact-subunit-analysis/plrp-s-for-biomolecules,First-page row from public Agilent product list; bulk media rows are not prepacked columns.,PL1612-1801,"PLRP-S 300 A, 3 x 5 mm, 5 um guard cartridge (PL), 2/pk",https://www.agilent.com/store/en_US/Prod-PL1612-1801/PL1612-1801,https://www.agilent.com/store/en_US/Prod-PL1310-0016/PL1310-0016,Matched by PL guard cartridge family; verify pore match,Official Agilent page found for PL1612-1801 PLRP-S 300 A guard cartridge; verify pore-size compatibility if using non-300 A PLRP-S columns.
SKU,PLRP-S,PL1412-6100,"PLRP-S bulk media, 1 kg; column hardware not included.",10 um; 100 A; bulk media,"Small molecule, synthetic biomolecule, peptide, protein, and oligonucleotide separations/purification.","17,880.00 USD",PLRP-S,Reversed Phase,10 um,,,100 A,SS or bulk media,No,1 Each,142,https://www.agilent.com/en/product/biopharma-hplc-analysis/intact-subunit-analysis/plrp-s-for-biomolecules,First-page row from public Agilent product list; bulk media rows are not prepacked columns.,,,,,Not applicable - bulk media,Bulk media is not a prepacked analytical column; guard selection depends on the packed column hardware.
SKU,PLRP-S,PL1412-2100,"PLRP-S bulk media, 10 g; column hardware not included.",10 um; 100 A; bulk media,"Small molecule, synthetic biomolecule, peptide, protein, and oligonucleotide separations/purification.",292.00 USD,PLRP-S,Reversed Phase,10 um,,,100 A,SS or bulk media,No,1 Each,142,https://www.agilent.com/en/product/biopharma-hplc-analysis/intact-subunit-analysis/plrp-s-for-biomolecules,First-page row from public Agilent product list; bulk media rows are not prepacked columns.,,,,,Not applicable - bulk media,Bulk media is not a prepacked analytical column; guard selection depends on the packed column hardware.
SKU,PLRP-S,PL1412-4100,"PLRP-S bulk media, 100 g; column hardware not included.",10 um; 100 A; bulk media,"Small molecule, synthetic biomolecule, peptide, protein, and oligonucleotide separations/purification.","2,094.00 USD",PLRP-S,Reversed Phase,10 um,,,100 A,SS or bulk media,No,1 Each,142,https://www.agilent.com/en/product/biopharma-hplc-analysis/intact-subunit-analysis/plrp-s-for-biomolecules,First-page row from public Agilent product list; bulk media rows are not prepacked columns.,,,,,Not applicable - bulk media,Bulk media is not a prepacked analytical column; guard selection depends on the packed column hardware.
SKU,PLRP-S,PL1812-6100,PLRP-S preparative column with fully porous PS/DVB support.,100 mm x 300 mm; 10 um; 100 A,"Small molecule, synthetic biomolecule, peptide, protein, and oligonucleotide separations/purification.","37,503.00 USD",PLRP-S,Reversed Phase,10 um,100 mm,300 mm,100 A,SS or bulk media,No,1 Each,142,https://www.agilent.com/en/product/biopharma-hplc-analysis/intact-subunit-analysis/plrp-s-for-biomolecules,First-page row from public Agilent product list; bulk media rows are not prepacked columns.,,,https://www.agilent.com/en/product/biopharma-hplc-analysis/intact-subunit-analysis/plrp-s-for-biomolecules,,Needs verification - large prep scale,Large preparative PLRP-S guard/protection depends on scale and hardware; no exact public guard link was assigned.
SKU,PLRP-S,PL1812-6800,PLRP-S preparative column with fully porous PS/DVB support.,100 mm x 300 mm; 8 um; 100 A,"Small molecule, synthetic biomolecule, peptide, protein, and oligonucleotide separations/purification.","40,519.00 USD",PLRP-S,Reversed Phase,8 um,100 mm,300 mm,100 A,SS or bulk media,No,1 Each,142,https://www.agilent.com/en/product/biopharma-hplc-analysis/intact-subunit-analysis/plrp-s-for-biomolecules,First-page row from public Agilent product list; bulk media rows are not prepacked columns.,,,https://www.agilent.com/en/product/biopharma-hplc-analysis/intact-subunit-analysis/plrp-s-for-biomolecules,,Needs verification - large prep scale,Large preparative PLRP-S guard/protection depends on scale and hardware; no exact public guard link was assigned.
SKU,PLRP-S,PL1912-3300,PLRP-S reversed-phase column with fully porous PS/DVB support.,2.1 mm x 150 mm; 3 um; 100 A,"Small molecule, synthetic biomolecule, peptide, protein, and oligonucleotide separations/purification.",845.00 USD,PLRP-S,Reversed Phase,3 um,2.1 mm,150 mm,100 A,SS or bulk media,No,1 Each,142,https://www.agilent.com/en/product/biopharma-hplc-analysis/intact-subunit-analysis/plrp-s-for-biomolecules,First-page row from public Agilent product list; bulk media rows are not prepacked columns.,PL1612-1801,"PLRP-S 300 A, 3 x 5 mm, 5 um guard cartridge (PL), 2/pk",https://www.agilent.com/store/en_US/Prod-PL1612-1801/PL1612-1801,https://www.agilent.com/store/en_US/Prod-PL1310-0016/PL1310-0016,Matched by PL guard cartridge family; verify pore match,Official Agilent page found for PL1612-1801 PLRP-S 300 A guard cartridge; verify pore-size compatibility if using non-300 A PLRP-S columns.
SKU,PLRP-S,PL1912-3500,PLRP-S reversed-phase column with fully porous PS/DVB support.,2.1 mm x 150 mm; 5 um; 100 A,"Small molecule, synthetic biomolecule, peptide, protein, and oligonucleotide separations/purification.",967.00 USD,PLRP-S,Reversed Phase,5 um,2.1 mm,150 mm,100 A,SS or bulk media,No,1 Each,142,https://www.agilent.com/en/product/biopharma-hplc-analysis/intact-subunit-analysis/plrp-s-for-biomolecules,First-page row from public Agilent product list; bulk media rows are not prepacked columns.,PL1612-1801,"PLRP-S 300 A, 3 x 5 mm, 5 um guard cartridge (PL), 2/pk",https://www.agilent.com/store/en_US/Prod-PL1612-1801/PL1612-1801,https://www.agilent.com/store/en_US/Prod-PL1310-0016/PL1310-0016,Matched by PL guard cartridge family; verify pore match,Official Agilent page found for PL1612-1801 PLRP-S 300 A guard cartridge; verify pore-size compatibility if using non-300 A PLRP-S columns.
SKU,PLRP-S,PL1912-3800,PLRP-S reversed-phase column with fully porous PS/DVB support.,2.1 mm x 150 mm; 8 um; 100 A,"Small molecule, synthetic biomolecule, peptide, protein, and oligonucleotide separations/purification.",863.00 USD,PLRP-S,Reversed Phase,8 um,2.1 mm,150 mm,100 A,SS or bulk media,No,1 Each,142,https://www.agilent.com/en/product/biopharma-hplc-analysis/intact-subunit-analysis/plrp-s-for-biomolecules,First-page row from public Agilent product list; bulk media rows are not prepacked columns.,PL1612-1801,"PLRP-S 300 A, 3 x 5 mm, 5 um guard cartridge (PL), 2/pk",https://www.agilent.com/store/en_US/Prod-PL1612-1801/PL1612-1801,https://www.agilent.com/store/en_US/Prod-PL1310-0016/PL1310-0016,Matched by PL guard cartridge family; verify pore match,Official Agilent page found for PL1612-1801 PLRP-S 300 A guard cartridge; verify pore-size compatibility if using non-300 A PLRP-S columns.
SKU,PLRP-S,PL1912-5500,PLRP-S reversed-phase column with fully porous PS/DVB support.,2.1 mm x 250 mm; 5 um; 100 A,"Small molecule, synthetic biomolecule, peptide, protein, and oligonucleotide separations/purification.","1,145.00 USD",PLRP-S,Reversed Phase,5 um,2.1 mm,250 mm,100 A,SS or bulk media,No,1 Each,142,https://www.agilent.com/en/product/biopharma-hplc-analysis/intact-subunit-analysis/plrp-s-for-biomolecules,First-page row from public Agilent product list; bulk media rows are not prepacked columns.,PL1612-1801,"PLRP-S 300 A, 3 x 5 mm, 5 um guard cartridge (PL), 2/pk",https://www.agilent.com/store/en_US/Prod-PL1612-1801/PL1612-1801,https://www.agilent.com/store/en_US/Prod-PL1310-0016/PL1310-0016,Matched by PL guard cartridge family; verify pore match,Official Agilent page found for PL1612-1801 PLRP-S 300 A guard cartridge; verify pore-size compatibility if using non-300 A PLRP-S columns.
SKU,Agilent Bio SEC-5,5190-6863,5 um silica SEC column with neutral hydrophilic coating.,21.2 mm x 300 mm; 5 um; 100 A,Preparative SEC purification of biological samples; 0.1-100 kDa.,"14,119.00 USD",Bio SEC-5,SEC,5 um,21.2 mm,300 mm,100 A,,No,1 Each,48,https://www.agilent.com/en/product/biopharma-hplc-analysis/aggregate-fragment-analysis/agilent-bio-sec-5,Representative first-page row from public Agilent product list.,5190-6869,"Bio SEC-5 100 A, 21.2 x 50 mm, 5 um short/preparative column",https://www.agilent.com/store/en_US/Prod-5190-6869/5190-6869,,Needs verification - Agilent labels as short prep column,Agilent public pages describe the 21.2 x 50 mm item as a preparative-scale SEC column rather than explicitly as a guard; verify use as a prep guard/protection column.
SKU,Agilent Bio SEC-5,5190-6869,5 um silica SEC column with neutral hydrophilic coating.,21.2 mm x 50 mm; 5 um; 100 A,Preparative SEC guard/short column for biological samples; 0.1-100 kDa.,"3,574.00 USD",Bio SEC-5,SEC,5 um,21.2 mm,50 mm,100 A,,No,1 Each,48,https://www.agilent.com/en/product/biopharma-hplc-analysis/aggregate-fragment-analysis/agilent-bio-sec-5,Representative first-page row from public Agilent product list.,5190-6869,"Bio SEC-5 100 A, 21.2 x 50 mm, 5 um short/preparative column",https://www.agilent.com/store/en_US/Prod-5190-6869/5190-6869,,Needs verification - Agilent labels as short prep column,Agilent public pages describe the 21.2 x 50 mm item as a preparative-scale SEC column rather than explicitly as a guard; verify use as a prep guard/protection column.
SKU,Agilent Bio SEC-5,5190-2519,5 um silica SEC column with neutral hydrophilic coating.,4.6 mm x 150 mm; 5 um; 100 A,Peptides and small proteins; aggregate/fragment SEC; 0.1-100 kDa.,"1,794.00 USD",Bio SEC-5,SEC,5 um,4.6 mm,150 mm,100 A,,No,1 Each,48,https://www.agilent.com/en/product/biopharma-hplc-analysis/aggregate-fragment-analysis/agilent-bio-sec-5,Representative first-page row from public Agilent product list.,5190-6857,"Bio SEC-5 100 A, 4.6 x 50 mm, 5 um guard column",https://www.agilent.com/store/en_US/Prod-5190-6857/5190-6857,,Matched,
SKU,Agilent Bio SEC-5,5190-2518,5 um silica SEC column with neutral hydrophilic coating.,4.6 mm x 300 mm; 5 um; 100 A,Peptides and small proteins; aggregate/fragment SEC; 0.1-100 kDa.,"2,219.00 USD",Bio SEC-5,SEC,5 um,4.6 mm,300 mm,100 A,,No,1 Each,48,https://www.agilent.com/en/product/biopharma-hplc-analysis/aggregate-fragment-analysis/agilent-bio-sec-5,Representative first-page row from public Agilent product list.,5190-6857,"Bio SEC-5 100 A, 4.6 x 50 mm, 5 um guard column",https://www.agilent.com/store/en_US/Prod-5190-6857/5190-6857,,Matched,
SKU,Agilent Bio SEC-5,5190-6857,5 um silica SEC column with neutral hydrophilic coating.,4.6 mm x 50 mm; 5 um; 100 A,SEC guard column for 4.6 mm analytical SEC columns.,858.00 USD,Bio SEC-5,SEC,5 um,4.6 mm,50 mm,100 A,,Yes,1 Each,48,https://www.agilent.com/en/product/biopharma-hplc-analysis/aggregate-fragment-analysis/agilent-bio-sec-5,Representative first-page row from public Agilent product list.,5190-6857,Agilent Bio SEC-5,https://www.agilent.com/store/en_US/Prod-5190-6857/5190-6857,,This row is a guard,This SKU is already a guard column/cartridge; link points to itself.
SKU,Agilent Bio SEC-5,5190-2517,5 um silica SEC column with neutral hydrophilic coating.,7.8 mm x 150 mm; 5 um; 100 A,Peptides and small proteins; aggregate/fragment SEC; 0.1-100 kDa.,"1,928.00 USD",Bio SEC-5,SEC,5 um,7.8 mm,150 mm,100 A,,No,1 Each,48,https://www.agilent.com/en/product/biopharma-hplc-analysis/aggregate-fragment-analysis/agilent-bio-sec-5,Representative first-page row from public Agilent product list.,5190-2520,"Bio SEC-5 100 A, 7.8 x 50 mm, 5 um guard column",https://www.agilent.com/store/en_US/Prod-5190-2520/5190-2520,,Matched,
SKU,Agilent Bio SEC-5,5190-2516,5 um silica SEC column with neutral hydrophilic coating.,7.8 mm x 300 mm; 5 um; 100 A,Peptides and small proteins; aggregate/fragment SEC; 0.1-100 kDa.,"2,683.00 USD",Bio SEC-5,SEC,5 um,7.8 mm,300 mm,100 A,,No,1 Each,48,https://www.agilent.com/en/product/biopharma-hplc-analysis/aggregate-fragment-analysis/agilent-bio-sec-5,Representative first-page row from public Agilent product list.,5190-2520,"Bio SEC-5 100 A, 7.8 x 50 mm, 5 um guard column",https://www.agilent.com/store/en_US/Prod-5190-2520/5190-2520,,Matched,
SKU,Agilent Bio SEC-5,5190-2520,5 um silica SEC column with neutral hydrophilic coating.,7.8 mm x 50 mm; 5 um; 100 A,SEC guard column for 7.8 mm analytical SEC columns.,873.00 USD,Bio SEC-5,SEC,5 um,7.8 mm,50 mm,100 A,,Yes,1 Each,48,https://www.agilent.com/en/product/biopharma-hplc-analysis/aggregate-fragment-analysis/agilent-bio-sec-5,Representative first-page row from public Agilent product list.,5190-2520,Agilent Bio SEC-5,https://www.agilent.com/store/en_US/Prod-5190-2520/5190-2520,,This row is a guard,This SKU is already a guard column/cartridge; link points to itself.
SKU,Agilent Bio SEC-5,5190-6867,5 um silica SEC column with neutral hydrophilic coating.,21.2 mm x 300 mm; 5 um; 1000 A,Preparative SEC for very large biological samples such as virus-like particles; 50 kDa-7.5 MDa.,"14,473.00 USD",Bio SEC-5,SEC,5 um,21.2 mm,300 mm,1000 A,,No,1 Each,48,https://www.agilent.com/en/product/biopharma-hplc-analysis/aggregate-fragment-analysis/agilent-bio-sec-5,Representative first-page row from public Agilent product list.,5190-6873,"Bio SEC-5 1000 A, 21.2 x 50 mm, 5 um short/preparative column",https://www.agilent.com/store/en_US/Prod-5190-6873/5190-6873,,Needs verification - Agilent labels as short prep column,Agilent public pages describe the 21.2 x 50 mm item as a preparative-scale SEC column rather than explicitly as a guard; verify use as a prep guard/protection column.
SKU,PL aquagel-OH 40,PL1149-6840,"Aqueous GPC/SEC column for synthetic polymers, starches, and polysaccharides.",7.5 mm x 300 mm; 8 um; resolving range 10 kDa-200 kDa,Aqueous GPC/SEC of water-soluble polymers and polysaccharides.,"2,583.00 USD",PL aquagel-OH,Aqueous GPC/SEC,8 um,7.5 mm,300 mm,,,No,1 Each,24,https://www.agilent.com/en/product/gpc-sec-columns-standards/aqueous-gpc-sec-columns/pl-aquagel-oh,Representative row from public Agilent product list.,PL1149-1840,"PL aquagel-OH, 7.5 x 50 mm, 8 um guard",https://www.agilent.com/store/en_US/Prod-PL1149-1840/PL1149-1840,,Matched,
SKU,PL aquagel-OH 50,PL1249-6150,"Aqueous GPC/SEC column for synthetic polymers, starches, and polysaccharides.",25 mm x 300 mm; 8 um; resolving range 50 kDa-600 kDa,Aqueous GPC/SEC of water-soluble polymers and polysaccharides.,"6,138.00 USD",PL aquagel-OH,Aqueous GPC/SEC,8 um,25 mm,300 mm,,,No,1 Each,24,https://www.agilent.com/en/product/gpc-sec-columns-standards/aqueous-gpc-sec-columns/pl-aquagel-oh,Representative row from public Agilent product list.,PL1249-1120,"PL aquagel-OH, 25.0 x 25 mm, 10 um guard",https://www.agilent.com/store/en_US/Prod-PL1249-1120/PL1249-1120,,Matched,
SKU,PL aquagel-OH 50,PL1149-6850,"Aqueous GPC/SEC column for synthetic polymers, starches, and polysaccharides.",7.5 mm x 300 mm; 8 um; resolving range 50 kDa-600 kDa,Aqueous GPC/SEC of water-soluble polymers and polysaccharides.,"2,583.00 USD",PL aquagel-OH,Aqueous GPC/SEC,8 um,7.5 mm,300 mm,,,No,1 Each,24,https://www.agilent.com/en/product/gpc-sec-columns-standards/aqueous-gpc-sec-columns/pl-aquagel-oh,Representative row from public Agilent product list.,PL1149-1840,"PL aquagel-OH, 7.5 x 50 mm, 8 um guard",https://www.agilent.com/store/en_US/Prod-PL1149-1840/PL1149-1840,,Matched,
